#Name	Title	DatasetName	Luminosity(/fb)
DoubleEG_Run2017B-3	DoubleEG	/DoubleEG/Run2017B-31Mar2018-v1/MINIAOD	0.0
DoubleEG_Run2017C-3	DoubleEG	/DoubleEG/Run2017C-31Mar2018-v1/MINIAOD	0.0
DoubleEG_Run2017D-3	DoubleEG	/DoubleEG/Run2017D-31Mar2018-v1/MINIAOD	0.0
DoubleEG_Run2017E-3	DoubleEG	/DoubleEG/Run2017E-31Mar2018-v1/MINIAOD	0.0
DoubleEG_Run2017F-3	DoubleEG	/DoubleEG/Run2017F-31Mar2018-v1/MINIAOD	0.0

DoubleMuon_Run2017B	DoubleMuon	/DoubleMuon/Run2017B-31Mar2018-v1/MINIAOD	0.0
DoubleMuon_Run2017C	DoubleMuon	/DoubleMuon/Run2017C-31Mar2018-v1/MINIAOD	0.0
DoubleMuon_Run2017D	DoubleMuon	/DoubleMuon/Run2017D-31Mar2018-v1/MINIAOD	0.0
DoubleMuon_Run2017E	DoubleMuon	/DoubleMuon/Run2017E-31Mar2018-v1/MINIAOD	0.0
DoubleMuon_Run2017F	DoubleMuon	/DoubleMuon/Run2017F-31Mar2018-v1/MINIAOD	0.0

MuonEG_Run2017B	MuonEG	/MuonEG/Run2017B-31Mar2018-v1/MINIAOD	0.0
MuonEG_Run2017C	MuonEG	/MuonEG/Run2017C-31Mar2018-v1/MINIAOD	0.0
MuonEG_Run2017D	MuonEG	/MuonEG/Run2017D-31Mar2018-v1/MINIAOD	0.0
MuonEG_Run2017E	MuonEG	/MuonEG/Run2017E-31Mar2018-v1/MINIAOD	0.0
MuonEG_Run2017F	MuonEG	/MuonEG/Run2017F-31Mar2018-v1/MINIAOD	0.0
